L_forward (s),L_activation gradient (s),L_weight gradient (s),L_weight update (s),E_forward (J),E_activation gradient (J),E_weight gradient (J),E_weight update (J),L_forward_Peak (s),L_activation gradient_Peak (s),L_weight gradient_Peak (s),L_weight update_Peak (s),E_forward_Peak (J),E_activation gradient_Peak (J),E_weight gradient_Peak (J),E_weight update_Peak (J),TOPS/W,TOPS,Peak TOPS/W,Peak TOPS
37.9419,30.186,53.2725,0.464378,1.27607,1.21702,84.4731,0.00382354,6.90422,6.99377,34.7007,0.437547,0.542308,0.537697,8.4293,0.000762879,2.12011,1.51333,19.3922,3.76092
37.9419,30.186,53.2744,0.48395,1.28669,1.22685,84.6141,0.00137091,6.90422,6.99379,34.7025,0.457119,0.552922,0.547526,8.57028,0.000283146,2.11624,1.51306,19.0695,3.75928
37.9416,30.1857,53.2747,0.538882,1.29127,1.23133,84.6052,0.00388501,6.90395,6.9935,34.7029,0.512051,0.557506,0.552009,8.56142,0.000826114,2.11617,1.51238,19.068,3.75509
37.9435,30.1876,53.2749,0.586638,1.29315,1.23315,84.6102,0.0047905,6.90589,6.99541,34.7031,0.559806,0.559382,0.553826,8.56643,0.00123678,2.11594,1.51174,19.0501,3.75113
37.9458,30.1898,53.274,0.600792,1.2942,1.23463,84.5389,0.00423926,6.90813,6.99765,34.7021,0.57396,0.560435,0.555314,8.4951,0.00112999,2.11762,1.51152,19.1866,3.74978
37.9453,30.1894,53.2733,0.611999,1.29419,1.23495,84.5002,0.00573169,6.90766,6.99722,34.7015,0.585168,0.560424,0.555628,8.45639,0.00125522,2.11852,1.5114,19.2633,3.74905
37.9472,30.1913,53.2731,0.616922,1.29366,1.23444,84.4878,0.00481116,6.90953,6.99908,34.7013,0.59009,0.559888,0.555117,8.44402,0.00149312,2.11887,1.5113,19.2899,3.7484
37.9485,30.1926,53.2728,0.584696,1.29455,1.23545,84.4878,0.00439987,6.91081,7.00037,34.701,0.557864,0.560787,0.556132,8.44401,0.000659018,2.11884,1.51167,19.2877,3.75069
37.9471,30.1912,53.2732,0.70117,1.29459,1.23537,84.4878,0.00412874,6.90942,6.99897,34.7013,0.674338,0.56082,0.556046,8.44402,0.00119656,2.11884,1.51026,19.2867,3.74201
37.9483,30.1924,53.2724,0.54939,1.29515,1.2362,84.4577,0.00489289,6.91063,7.00015,34.7006,0.522558,0.561387,0.556875,8.41387,0.000784724,2.11952,1.51212,19.3457,3.75345
