epoch,average loss,accuracy
0.000000,82.074669,28.330000
1.000000,82.575127,32.430000
2.000000,78.676605,34.490002
3.000000,77.171158,39.639999
4.000000,76.178726,37.720001
5.000000,76.441002,38.029999
6.000000,75.212578,39.299999
7.000000,74.716286,40.130001
8.000000,76.294418,38.740002
9.000000,77.142097,37.570000
epoch,average loss,accuracy
0.000000,82.074669,28.330000
1.000000,82.575127,32.430000
2.000000,78.676605,34.490002
3.000000,77.171158,39.639999
4.000000,76.178726,37.720001
5.000000,76.441002,38.029999
6.000000,75.212578,39.299999
7.000000,74.716286,40.130001
8.000000,76.294418,38.740002
9.000000,77.142097,37.570000
epoch,average loss,accuracy
0.000000,73.178261,42.310001
1.000000,62.407967,52.639999
2.000000,62.125282,53.880001
3.000000,56.433144,58.340000
4.000000,49.468975,64.410004
5.000000,43.129959,69.889999
6.000000,39.216438,73.019997
7.000000,39.356491,72.300003
8.000000,42.205780,70.389999
9.000000,40.729935,70.889999
epoch,average loss,accuracy
0.000000,73.178261,42.310001
1.000000,62.407967,52.639999
2.000000,62.125282,53.880001
3.000000,56.433144,58.340000
4.000000,49.468975,64.410004
5.000000,43.129959,69.889999
6.000000,39.216438,73.019997
7.000000,39.356491,72.300003
8.000000,42.205780,70.389999
9.000000,40.729935,70.889999
epoch,average loss,accuracy
0.000000,82.074669,28.330000
1.000000,82.575127,32.430000
2.000000,78.676605,34.490002
3.000000,77.171158,39.639999
epoch,average loss,accuracy
0.000000,82.074669,28.330000
epoch,average loss,accuracy
0.000000,82.074669,28.330000
1.000000,82.575127,32.430000
2.000000,78.676605,34.490002
3.000000,77.171158,39.639999
4.000000,76.178726,37.720001
5.000000,76.441002,38.029999
6.000000,75.212578,39.299999
7.000000,74.716286,40.130001
8.000000,76.294418,38.740002
9.000000,77.142097,37.570000
